nome,idade,time,posicao,partidas,minutos,gols,assistencias,chutes,passes_chave,dribles,faltas_sofridas,impedimentos,desarmes_sofridos,dominios_errados,desarmes,interceptacoes,faltas_cometidas,impedimentos_ganhos,afastadas_perigo,dribles_sofridos,Blocks,gols_contra,passes,perc_passes,cruzamentos,bolas_longas,enfiadas,nota
Kaiky Naves,19,Palmeiras,Midfielder,2,180,-,-,0.5,1,-,-,-,-,0.5,0.5,2,0.5,0.5,9.5,-,3.5,-,27.5,80.0,-,3.0,0.5,7.89
Giorgian de Arrascaeta,27,Flamengo,"AM(CLR),FW",11(3),927,1,6,2.1,1.9,2.9,2.3,0.1,1.7,2.1,1.4,0.1,0.9,-,0.1,0.9,0.1,-,45.4,82.7,1.5,2.3,0.4,7.59
Michel,18,Palmeiras,Defender,3,270,-,1,-,0.3,-,0.3,-,-,0.3,2.3,0.3,0.3,0.3,10.0,1,0.7,-,27.7,72.3,-,3.0,-,7.5
Jandrei,29,Santos FC,GK,1,90,-,-,-,-,-,-,-,-,-,-,-,-,-,3.0,-,-,-,22.0,50.0,-,2.0,-,7.41
Bruno Henrique,31,Flamengo,"AM(CLR),FW",21(3),1905,11,5,2.3,1.3,1.9,2.4,0.4,1.4,2.9,0.8,0.5,1.8,-,1.0,0.7,-,-,22.9,74.5,-,0.3,0.1,7.4
Hulk,35,Atletico MG,"AM(CLR),FW",33(2),2931,19,7,3.2,1.6,2.2,2.4,0.4,2.5,3.9,0.3,0.1,1.5,-,0.6,0.4,-,-,23.7,75.6,0.2,0.8,-,7.4
Artur,24,Red Bull Bragantino,AM(LR),28(2),2497,12,8,2.6,2.1,1.3,1.9,-,1.4,2.5,0.5,0.4,0.6,-,0.3,0.9,0.2,-,30.6,81.9,1.3,2.2,0.1,7.26
Vinícius Silvestre,28,Palmeiras,GK,4,360,-,-,-,-,-,0.3,-,-,0.3,-,-,-,-,1.3,0.3,-,-,29.0,46.6,-,7.5,-,7.25
Ademir,27,America MG,AM(CR),29(2),2573,13,3,2.7,1.9,2.6,3,0.3,1.2,2.7,0.9,0.4,0.9,-,0.2,1.1,-,-,22.7,72.6,0.9,0.9,0.2,7.25
Gerson,24,Flamengo,M(CLR),4,360,-,-,1,1.3,0.8,3.8,-,1.5,1.5,3,0.8,2,-,0.8,0.8,0.5,-,55.8,94.6,-,2.0,0.3,7.2
Claudinho,25,Red Bull Bragantino,"AM(CL),FW",5,448,-,1,3,3.6,1,1.8,0.2,1.6,2.8,1.4,0.6,0.8,-,-,1.6,-,-,50.0,78.4,2.4,3.6,-,7.18
Matheus Donelli,19,Corinthians,Goalkeeper,1,90,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,6.0,100.0,-,1,-,7.18
Ferreira,24,Gremio,AM(LR),24(5),2141,3,6,2.8,1.4,3,2.1,-,1.3,1.9,1.1,0.6,0.5,-,0.3,1.1,-,-,31.9,84.0,0.5,0.8,0.1,7.16
Vitor Hugo,19,Palmeiras,Forward,2,180,-,1,2,1,0.5,0.5,-,0.5,2,0.5,2,2,-,3.5,0.5,-,-,20.5,56.1,-,-,-,7.15
Aderlan,31,Red Bull Bragantino,"D(R),M(R)",29,2543,2,4,0.8,1.1,1,1.1,0.1,1,1.4,2.9,1.9,1.8,0.2,1.6,1.6,0.3,-,39.8,76.9,0.5,2.8,0.1,7.15
Robert Arboleda,30,Sao Paulo,D(C),17,1530,1,-,0.6,0.2,0.1,1,0.2,0.1,0.4,1.4,1.5,1.5,0.5,5.7,0.3,0.8,-,52.8,84.5,0.1,2.5,-,7.14
Gabi,25,Flamengo,"AM(LR),FW",18,1491,12,5,3.6,1.1,0.4,0.8,0.7,0.7,1.4,0.2,-,0.4,-,-,0.3,-,-,27.0,82.5,0.2,0.8,0.2,7.14
Filipe Luís,36,Flamengo,D(L),21(1),1849,-,2,0.2,1.1,0.5,0.6,0.1,0.3,0.6,2.7,1.9,1.1,0.2,1.4,0.8,0.3,-,69.2,89.6,0.4,4.4,-,7.14
Andreas Pereira,26,Flamengo,M(CLR),16(2),1389,5,1,1.4,1.6,1.4,1,0.1,1.6,1.6,1.4,0.6,1.3,0.1,0.2,1.6,0.1,-,44.4,84.7,0.9,2.8,-,7.13
Gustavo Scarpa,28,Palmeiras,"D(L),M(CLR)",21(10),1842,4,13,2.4,2.4,1,1.3,0.1,0.7,1.3,0.5,0.4,0.7,-,0.2,0.7,-,-,24.6,78.5,1.8,3,-,7.12
Raphael Veiga,26,Palmeiras,AM(CLR),29(2),2319,10,4,2.3,1.3,1.2,1.8,0.1,0.5,1.5,0.9,0.5,1.1,-,0.2,0.7,-,-,30.7,85.2,0.7,1.7,0.1,7.11
Róger Guedes,25,Corinthians,"AM(CLR),FW",19,1681,7,2,2.8,1.4,1.6,3,0.4,1.3,2.5,0.6,0.2,0.8,-,0.2,0.6,-,-,37.5,83.0,0.6,1.9,-,7.11
Mateus Claus,27,Bahia,GK,6,540,-,-,-,-,0.2,-,-,-,-,-,-,-,-,1.8,-,-,-,20.5,67.5,-,3.3,-,7.1
Lucas Crispim,27,Fortaleza,M(CL),23(3),1969,1,7,1.5,1.8,1.0,1.5,-,0.3,0.6,1.5,1.1,0.7,-,1,0.9,0.1,-,36.8,82.9,1.3,2.3,-,7.1
Marlon,28,America MG,D(L),22(1),1834,1,2,1.3,1,1.4,1.7,-,0.7,1.8,2,1.9,1.3,0.2,1.2,0.7,0.2,-,34.2,79.4,0.3,1.5,-,7.09
Rodrigo Dourado,27,Internacional,DMC,28(1),2304,2,2,0.4,0.6,0.3,1.3,0.1,0.4,0.8,2.4,2.2,2.1,-,2,1.3,0.3,-,46.2,87.0,-,1.9,0.2,7.08
Nikão,29,Athletico Paranaense,"AM(CLR),FW",21(6),1995,3,5,1.8,2,1.0,2.3,0.1,0.9,1.1,0.8,0.6,0.9,-,0.7,0.5,0.1,-,32.7,83.4,1.2,3.8,0.1,7.08
Everton Ribeiro,32,Flamengo,AM(CLR),22,1739,2,3,0.9,1.6,2.0,2.2,-,1.4,2,1.4,0.9,1.1,-,-,1.5,0.1,-,42.0,82.8,0.5,0.8,0.1,7.08
Michael,26,Flamengo,AM(LR),23(12),2204,14,4,2,1.1,2.2,1,0.2,1.1,2.8,0.9,0.6,0.5,-,0.2,1.3,0.1,-,19.9,74.6,0.4,0.3,-,7.07
Guilherme Arana,24,Atletico MG,"D(L),M(L)",26,2287,1,5,1.3,1.3,1.2,1.5,0.1,0.4,1.3,1.3,1.1,1.6,0.2,1.2,0.7,0.1,-,48.4,86.7,1.2,1.3,-,7.06
Edenílson,32,Internacional,"D(R),M(CLR)",30(3),2716,11,7,1.4,2.1,0.9,1.4,0.1,1.2,1.4,0.7,1,0.9,-,0.5,0.4,0.1,-,39.4,85.4,1,2.4,0.1,7.06
Nathan Silva,24,Atletico GO,"D(C),DMC",6,540,1,-,0.2,-,-,0.7,-,-,-,0.7,0.5,1.8,1.3,6.0,-,0.7,-,52.5,85.1,-,3.8,-,7.05
Jori,26,America MG,GK,3,270,-,-,-,-,0.3,-,-,-,-,-,-,-,-,1.0,-,-,-,20.7,54.8,-,3.0,-,7.04
Éderson,22,Fortaleza,DMC,29(5),2627,1,2,1.9,0.5,1.8,2.6,-,0.9,1.8,1.9,1.6,1.2,-,1.1,1.2,0.3,-,31.2,82.7,0.1,2.5,0.1,7.04
Giovani,18,Palmeiras,Forward,3,230,1,-,1.7,0.7,1.3,1,-,1,2.7,1,0.7,1,-,0.3,-,-,-,17.0,64.7,1,0.3,-,7.02
Juninho,27,Bahia,D(CL),9,810,1,1,1.2,0.4,0.3,0.3,0.1,0.2,0.2,0.8,1.4,0.2,0.6,4.7,0.2,0.3,-,51.7,86.7,0.1,3.3,-,7.02
Mauricio Kozlinski,30,Atletico GO,GK,1,90,-,-,-,-,-,-,-,-,-,-,-,-,-,1.0,-,-,-,22.0,68.2,-,8.0,-,7.02
Luan Cândido,21,Red Bull Bragantino,D(L),16(2),1411,3,-,1.6,0.2,0.3,0.5,0.2,0.4,1,2.3,1.7,2,0.2,1.9,1.1,0.3,-,30.3,75.8,0.1,0.8,-,7.0
Rodrigo Caio,28,Flamengo,"D(CR),DMC",19,1639,-,1,0.8,0.2,0.3,0.7,-,0.3,0.3,1.3,1.9,1.2,0.5,2.6,0.4,0.4,-,58.9,91.0,-,2.4,-,7.0
Vitinho,28,Flamengo,"AM(CLR),FW",18(13),1595,4,8,1.8,1.5,1.7,1,-,1.1,1.7,1.4,0.3,1.6,-,0.3,0.6,0.1,-,21.4,80.5,0.8,0.8,0.1,6.99
Matías Zaracho,24,Atletico MG,M(CR),29(3),2430,7,2,1.3,0.8,0.8,0.8,0.2,0.8,1.6,2.7,1.1,1.7,-,0.4,1.8,0.3,-,31.7,86.5,0.1,1.1,-,6.99
Tomás Cuello,22,Red Bull Bragantino,AM(L),23(7),1990,3,2,1.8,0.9,2.1,2.0,0.1,1.2,2.0,1.3,0.9,1.4,-,0.4,0.7,0.2,-,23.3,76.9,0.5,1.6,-,6.99
Mailson,25,Sport Recife,GK,37,3330,-,-,-,-,-,0.1,-,-,0.1,-,0.1,-,-,0.8,-,-,-,24.1,69.5,-,5.6,-,6.97
Luan Peres,27,Santos FC,D(CL),7,630,-,-,0.6,-,0.7,1.7,-,0.4,0.9,1.3,1.0,1.3,1,2.9,0.3,0.6,-,68.9,84.6,-,3.4,-,6.97
Taison,34,Internacional,"AM(CL),FW",22,1681,4,1,1.5,1.7,1.2,1.4,0.1,0.9,1.8,1.3,0.5,1.4,-,0.1,1.1,-,-,38.0,83.9,0.2,1.9,0.3,6.96
Léo Ortiz,26,Red Bull Bragantino,D(C),23(1),2066,-,2,0.3,0.5,0.6,0.5,-,0.2,0.2,0.9,2.3,0.8,0.2,4.1,0.5,0.8,-,51.7,87.7,-,7.8,-,6.96
Gustavo García,20,Palmeiras,Defender,3,265,-,-,0.3,0.3,0.3,1.0,-,0.7,1.3,2,2.3,1.3,-,1.3,1,1,-,25.0,69.3,1,1.7,-,6.95
Ricardo Bueno,34,Juventude,FW,19,1581,7,-,2.3,0.6,1.1,3.1,0.4,1.4,2.4,0.9,0.1,1.3,-,0.7,0.5,0.1,-,23.1,77.9,-,0.7,-,6.95
